Tm,G,Cmp,Att,Cmp%,Yds,TD,TD%,Int,PD,Int%,Y/A,AY/A,Y/C,Y/G,Rate,Sk,Yds,QBHits,TFL,NY/A,ANY/A,Sk%,EXP
Arizona Cardinals,9,224,349,64.2,2248,17,4.9,8,33,2.3,6.9,6.9,10.8,249.8,91.2,22,173,53,48,6.1,6,5.9,-49.83
Atlanta Falcons,9,238,351,67.8,2793,22,6.3,7,33,2,8.3,8.6,12.2,310.3,105.6,14,110,58,41,7.7,8,3.8,-126.64
Baltimore Ravens,9,209,326,64.1,1920,12,3.7,4,32,1.2,6.5,6.7,10.1,213.3,89.6,25,190,74,41,5.5,5.6,7.1,-21.2
Buffalo Bills,10,226,333,67.9,2387,15,4.5,7,39,2.1,7.6,7.5,11.2,238.7,96.5,27,137,59,46,6.6,6.6,7.5,-70.7
Carolina Panthers,10,257,372,69.1,2555,16,4.3,5,37,1.3,7.1,7.3,10.2,255.5,97.8,11,69,47,33,6.7,6.9,2.9,-109.36
Chicago Bears,10,214,350,61.1,2250,12,3.4,6,45,1.7,6.8,6.7,11.1,225,85.7,21,135,53,50,6.1,6,5.7,-34.58
Cincinnati Bengals,9,204,326,62.6,2386,21,6.4,8,42,2.5,7.5,7.7,11.9,265.1,96.6,11,50,41,25,7.1,7.3,3.3,-92.52
Cleveland Browns,9,227,340,66.8,2270,18,5.3,7,40,2.1,7.2,7.3,10.7,252.2,96.6,22,163,38,34,6.3,6.4,6.1,-65.59
Dallas Cowboys,9,182,294,61.9,2021,21,7.1,3,25,1,7.2,8.1,11.6,224.6,103.1,17,89,40,32,6.5,7.4,5.5,-72.32
Denver Broncos,9,214,322,66.5,2081,14,4.3,6,36,1.9,6.9,6.9,10.4,231.2,93,22,146,54,42,6,6.1,6.4,-51.49
Detroit Lions,9,210,321,65.4,2326,17,5.3,5,29,1.6,7.6,8,11.7,258.4,99.6,13,125,40,34,7,7.3,3.9,-105.99
Green Bay Packers,9,193,284,68,2026,14,4.9,4,26,1.4,7.6,8,11.2,225.1,101.1,20,145,38,32,6.7,7,6.6,-46.24
Houston Texans,9,203,296,68.6,2175,18,6.1,2,23,0.7,7.8,8.7,11.3,241.7,109,19,123,38,30,6.9,7.8,6,-104.82
Indianapolis Colts,9,178,286,62.2,1788,11,3.8,11,49,3.8,6.8,5.8,10.9,198.7,78.9,21,146,47,46,5.8,4.9,6.8,-18.11
Jacksonville Jaguars,9,212,302,70.2,2555,19,6.3,7,35,2.3,8.6,8.8,12.3,283.9,107.8,9,46,42,30,8.2,8.4,2.9,-129.76
Kansas City Chiefs,9,192,308,62.3,1941,11,3.6,9,33,2.9,6.6,6,10.7,215.7,81.4,19,104,54,26,5.9,5.4,5.8,0.54
Las Vegas Raiders,9,207,336,61.6,2384,14,4.2,7,43,2.1,7.3,7.2,11.8,264.9,89,11,61,41,31,6.9,6.8,3.2,-80.97
Los Angeles Chargers,9,203,321,63.2,2091,18,5.6,4,31,1.2,6.8,7.3,10.7,232.3,96.6,16,88,46,29,6.2,6.7,4.7,-45.12
Los Angeles Rams,9,201,313,64.2,1797,9,2.9,8,36,2.6,6.4,5.8,9.9,199.7,81,31,193,59,36,5.2,4.7,9,22.78
Miami Dolphins,9,206,328,62.8,2194,13,4,8,49,2.4,7.3,7,11.6,243.8,87.8,22,193,62,33,6.3,6,6.3,16.9
Minnesota Vikings,9,218,328,66.5,2411,19,5.8,7,27,2.1,7.6,7.8,11.5,267.9,99.7,18,96,50,37,7,7.2,5.2,-82.74
New England Patriots,9,167,245,68.2,2017,14,5.7,11,32,4.5,8.6,7.7,12.6,224.1,95.1,13,90,35,27,7.8,7,5,-54.2
New Orleans Saints,9,206,317,65,2083,20,6.3,9,36,2.8,7.1,7.1,11,231.4,95.1,24,175,59,50,6.1,6.1,7,-74.38
New York Giants,10,247,362,68.2,2577,15,4.1,8,52,2.2,7.6,7.5,11.2,257.7,95.3,25,186,71,44,6.7,6.5,6.5,-75.72
New York Jets,9,232,320,72.5,2536,16,5,7,38,2.2,8.1,8.1,11.2,281.8,103.9,11,61,35,39,7.7,7.7,3.3,-126.93
Philadelphia Eagles,9,205,306,67,1906,13,4.2,3,29,1,7,7.4,10.4,211.8,97,31,225,74,53,5.7,6,9.2,-29.53
Pittsburgh Steelers,9,173,308,56.2,1902,15,4.9,11,45,3.6,7,6.3,12.4,211.3,79.2,36,242,92,65,5.5,5,10.5,6.57
San Francisco 49ers,10,204,314,65,2089,17,5.4,8,42,2.5,7,6.9,10.8,208.9,92.8,18,107,45,37,6.3,6.2,5.4,-57.93
Seattle Seahawks,9,281,403,69.7,3180,16,4,9,45,2.2,8.1,7.9,11.7,353.3,98.1,22,102,56,49,7.5,7.3,5.2,-117.2
Tampa Bay Buccaneers,10,242,355,68.2,2237,17,4.8,12,46,3.4,7,6.4,10.2,223.7,89.8,32,238,73,59,5.8,5.3,8.3,-8.57
Tennessee Titans,9,248,366,67.8,2497,20,5.5,9,56,2.5,7.1,7.1,10.4,277.4,96,11,89,47,33,6.6,6.6,2.9,-84.8
Washington Football Team,9,172,264,65.2,1752,14,5.3,8,21,3,7.4,7.1,11.3,194.7,92.1,28,191,47,44,6,5.7,9.6,-25.97
