PLAYER,GP,MIN,PTS,FGM,FGA,FG%,3PM,3PA,3P%,FTM,FTA,FT%,OREB,DREB,REB,AST,STL,BLK,TOV,EFG%,TS%
A.C. Green,1278,36554,12331,4544,9202,49.4,124,489,25.4,3119,4250,73.4,3354,6119,9473,1400,1033,546,1434,50.1,55.7
Adrian Dantley,955,34151,23177,8169,15121,54,7,41,17.1,6832,8351,81.8,2207,3248,5455,2830,944,150,2503,54,61.7
Al Harrington,981,28003,13237,5028,11318,44.4,977,2778,35.2,2204,3030,72.7,1495,3987,5482,1649,858,246,1838,48.7,52.3
Al Horford,853,27811,11890,4997,9612,52,464,1275,36.4,1432,1898,75.4,1798,5256,7054,2818,688,1008,1344,54.4,56.9
Al Jefferson,915,26298,14343,6161,12344,49.9,8,66,12.1,2013,2833,71.1,2054,5636,7690,1347,628,1093,1211,49.9,52.8
Alex English,1193,38063,25613,10659,21036,50.7,18,83,21.7,4277,5141,83.2,2778,3760,6538,4351,1067,833,2821,50.7,55
Allan Houston,839,28310,14551,5337,12017,44.4,1305,3247,40.2,2572,2979,86.3,353,2081,2434,1990,566,139,1760,49.8,54.6
Allen Iverson,914,37582,24368,8467,19906,42.5,1059,3383,31.3,6375,8168,78,745,2649,3394,5624,1983,164,3262,45.2,51.8
Alonzo Mourning,838,25977,14311,5116,9701,52.7,22,89,24.7,4057,5862,69.2,2184,4953,7137,946,414,2356,2209,52.9,58.3
Alvan Adams,988,27203,13910,5709,11464,49.8,2,15,13.3,2490,3160,78.8,2015,4922,6937,4012,1289,808,2194,49.8,54.1
Amar'e Stoudemire,846,26253,15994,5911,11009,53.7,30,127,23.6,4142,5444,76.1,2029,4603,6632,1050,636,1054,1953,53.8,59.7
Andre Iguodala,1129,37454,13552,4880,10486,46.5,1003,3013,33.3,2789,3933,70.9,1056,4653,5709,4872,1677,573,2136,51.3,55.5
Andre Miller,1304,40268,16278,6035,13104,46.1,193,888,21.7,4015,4975,80.7,1373,3422,4795,8524,1546,227,3121,46.8,53.2
Antawn Jamison,1083,37638,20042,7679,17024,45.1,1163,3365,34.6,3521,4860,72.4,2557,5600,8157,1761,1048,421,1714,48.5,52.3
Anthony Davis,528,18239,12677,4704,9126,51.5,253,794,31.9,3016,3759,80.2,1350,4132,5482,1182,730,1264,1023,52.9,58.8
Antoine Walker,893,31533,15647,6085,14710,41.4,1386,4264,32.5,2091,3303,63.3,1894,4997,6891,3170,1085,469,2504,46.1,48.4
Antonio McDyess,1015,28053,12227,5046,10161,49.7,7,60,11.7,2128,3178,67,2478,5160,7638,1300,782,1102,1623,49.7,52.9
Archie Clark,725,23581,11819,4693,9784,48,-,-,-,2433,3163,76.9,130,383,2427,3498,231,15,-,48,52.9
Armen Gilliam,929,26427,12700,4838,9895,48.9,0,17,0,3024,3896,77.6,2117,4284,6401,1088,676,607,1722,48.9,54.7
Artis Gilmore,909,29685,15579,5732,9570,59.9,1,13,7.7,4114,5768,71.3,2639,6522,9161,1777,470,1747,2347,59.9,64.3
Bailey Howell,950,30627,17770,6515,13585,48,-,-,-,4740,6224,76.2,-,-,9383,1853,-,-,-,48,54.4
Baron Davis,835,28593,13447,4888,11951,40.9,1332,4159,32,2339,3292,71.1,762,2421,3183,6025,1530,360,2308,46.5,50.2
Bernard King,874,29417,19655,7830,15109,51.8,23,134,17.2,3972,5444,73,1704,3356,5060,2863,866,230,2791,51.9,56.1
Bill Cartwright,963,27491,12713,4656,8868,52.5,0,2,0,3401,4412,77.1,1812,4294,6106,1390,460,668,1892,52.5,58.8
Bill Laimbeer,1068,33956,13790,5574,11198,49.8,202,619,32.6,2440,2916,83.7,2819,7581,10400,2184,710,965,1594,50.7,55.2
Bill Russell,963,40726,14522,5687,12930,44,-,-,-,3148,5614,56.1,-,-,21620,4100,-,-,-,44,47.1
Bill Sharman,711,21793,12665,4761,11168,42.6,-,-,-,3143,3559,88.3,-,-,2779,2101,-,-,-,42.6,49.7
Billy Cunningham,654,22406,13626,5116,11467,44.6,-,-,-,3394,4717,72,159,714,6638,2625,115,45,-,44.6,50.3
Blake Griffin,622,21671,13479,5049,10134,49.8,407,1223,33.3,2974,4283,69.4,1345,4156,5501,2749,553,321,1617,51.8,56.1
Bob Boozer,874,25549,12964,4961,10738,46.2,-,-,-,3042,3998,76.1,-,-,7119,1237,-,-,-,46.2,51.9
Bob Cousy,924,30165,16960,6168,16468,37.5,-,-,-,4624,5756,80.3,-,-,4786,6955,-,-,-,37.5,44.6
Bob Dandridge,839,29502,15530,6445,13317,48.4,2,12,16.7,2638,3382,78,908,2337,5715,2846,661,303,630,48.4,52.4
Bob Lanier,959,32103,19248,7761,15092,51.4,2,13,15.4,3724,4858,76.7,1843,4853,9698,3007,777,1100,1112,51.4,55.9
Bob Love,789,25120,13895,5447,12688,42.9,-,-,-,3001,3728,80.5,552,1033,4653,1123,232,56,-,42.9,48.5
Bob McAdoo,852,28327,18787,7420,14751,50.3,3,37,8.1,3944,5229,75.4,1818,5502,8048,1951,751,1147,1223,50.3,55.1
Bob Pettit,792,30690,20880,7349,16872,43.6,-,-,-,6182,8119,76.1,-,-,12849,2369,-,-,-,43.6,51.1
Bradley Beal,545,18832,11425,4162,9204,45.2,1241,3268,38,1860,2306,80.7,450,1719,2169,2171,622,214,1241,52,55.9
Brook Lopez,785,23992,13227,5060,10248,49.4,538,1580,34.1,2569,3238,79.3,1651,3356,5007,1189,455,1412,1405,52,56.7
